raw_id,biz_name_raw,address_raw,pin,pan,gst,phone,biz_name_norm,address_norm
BES_1741a4,Natt LLC,"06/08
Munshi Road, Belagavi",566621,VSKPY7115X,29NTRFB6511K1ZA,4796368522,natt llc,0608 munshi road belagavi
BES_921980,Manda Group,"376, Tank Marg, Belagavi",570241,VUBIG6966F,29OABXB0578G1ZJ,6835564054,manda group,376 tank marg belagavi
BES_9e7978,"Goel, Bassi and Deshpande","520, Dewan Ganj, Hubballi",583061,GEGTL3779P,29ZIPMY4583W1ZD,911176099923,goel bassi and deshpande,520 dewan ganj hubballi
BES_41a95c,Srinivas Group,"93
Samra Ganj, Hubballi",571061,ABZCJ0511W,,914895599095,srinivas group,93 samra ganj hubballi
BES_4fc1bb,Swaminathan PLC,"06
Cherian, Mysuru",586021,JHCVW1009A,29EGFNZ9890J1ZL,149020564,swaminathan plc,06 cherian mysuru
BES_211f8e,Prashad-Kibe ENT,"966, Sachdev Marg, Bengaluru",571881,LYJRX6084V,29FFBMF6995V1ZG,5014576858,prashadkibe ent,966 sachdev marg bengaluru
BES_f82e4f,Walla-Kakar,"39
Mohan Ganj, Mysuru",566721,LDULQ3774F,29TIBZU2704R1ZT,914924680526,wallakakar,39 mohan ganj mysuru
BES_822456,Loke ENT,"H.No. 94, Ramakrishnan, Hubballi",565981,GXRIF0815Y,29VSVCG7804B1ZF,917426136850,loke ent,hno 94 ramakrishnan hubballi
BES_0d787b,"Halder, Kadakia and Halder","01
Bains Circle, Bengaluru",561741,GKDNE0889K,29SVUMF0122J1ZJ,914222103270,halder kadakia and halder,01 bains circle bengaluru
BES_387310,Bala-Bhargava ENT,"H.No. 121
Parekh Ganj, Hubballi",587601,VXSGS5034C,29JVPHQ4990H1ZS,5364672617,balabhargava ent,hno 121 parekh ganj hubballi
BES_1c4758,"Goel, Kaur and Dewan","57/382, Lanka Street, Bengaluru",570521,AHELE8114X,29YULWI5820P1ZU,2123011819,goel kaur and dewan,57382 lanka street bengaluru
BES_b85687,Bhalla ENT,"H.No. 861
Kunda Road, Belagavi",579241,ICXVF4197O,,7602179561,bhalla ent,hno 861 kunda road belagavi
BES_b31e3a,"Kari, Apte and Sarraf","410, Sawhney Zila, Mysuru",582921,HXWRX4173W,,3981204178,kari apte and sarraf,410 sawhney zila mysuru
BES_e91bd7,"Patla, ENT","H.No. 067
Venkatesh Zila, Mysuru",571321,KXOMS1285Z,29JGAHR0481O1ZR,912949413979,patla ent,hno 067 venkatesh zila mysuru
BES_052bb1,Gokhale Ltd,"H.No. 738, Sunder, Belagavi",564441,MBBPX1035W,29QBAWC1551Z1ZT,8029026664,gokhale ltd,hno 738 sunder belagavi
BES_1eb8ea,Kala-Pau,"03, Rai Circle, Mysuru",584721,RWLWN4970Z,29PULBT2022M1ZC,913546668881,kalapau,03 rai circle mysuru
BES_4d1d68,Divan LLC,"595, Gokhale Circle, Bengaluru",570561,YZBHA2906E,29REKVL6944E1ZL,2845963543,divan llc,595 gokhale circle bengaluru
BES_b2d0ba,"Anand, Mander and Varkey","94/540
Bhagat Marg, Mysuru",585341,LKYSS9386B,29FXHJP7369F1ZH,919697549153,anand mander and varkey,94540 bhagat marg mysuru
BES_c87bec,"Deshpande, Chakrabarti and Pradhan","89
Wable Circle, Mangaluru",578561,,29VXELK8757C1ZS,911416136169,deshpande chakrabarti and pradhan,89 wable circle mangaluru
BES_6994b9,Shere-Khurana ENT,"82/168
Seth Zila, Hubballi",561321,USPCR8009B,29ETKHD5033W1ZT,1661477020,sherekhurana ent,82168 seth zila hubballi
BES_ca2c78,Dani-Soni ENT,"H.No. 483, Bhalla Circle, Mysuru",568181,QPIVB4976U,29XBDUZ5895C1ZS,9804315218,danisoni ent,hno 483 bhalla circle mysuru
BES_8e18fd,Brahmbhatt ENT,"H.No. 380
Tara Chowk, Bengaluru",588881,RPADT2110X,29TGVBP5888K1ZP,3224326576,brahmbhatt ent,hno 380 tara chowk bengaluru
BES_4ee0c9,Hegde-Chand,"34/209, Soni Zila, Mangaluru",571581,SBCOO2366I,29MUVET0922Y1ZL,4860669352,hegdechand,34209 soni zila mangaluru
BES_55440b,Palla Group,"21
Anne Chowk, Mangaluru",581021,GTJLI0961B,29JRXBO8256X1ZM,915063372248,palla group,21 anne chowk mangaluru
BES_96eb0f,Hayre-Rana,"61/628
Roy Marg, Mangaluru",561581,,29CIFCO3721T1ZL,9172800565,hayrerana,61628 roy marg mangaluru
BES_5cd2d0,Sridhar PLC,"19/36
Ray Ganj, Belagavi",576061,JHGZQ4564G,29BNZTX9534Y1ZO,7019561949,sridhar plc,1936 ray ganj belagavi
BES_8430f5,Shankar and Sons,"61/37, Thakur Chowk, Mangaluru",581941,WJUDY3087K,29AWRNR1718Z1ZL,912229496463,shankar and sons,6137 thakur chowk mangaluru
BES_6c58cc,Vora LLC,"324
Bassi Circle, Belagavi",587341,KFLAM0460G,29YDLID7954L1ZO,3776595697,vora llc,324 bassi circle belagavi
BES_253167,"Kaur, ENT","658
Karpe Zila, Mysuru",563661,,29HCMIC1570F1ZJ,190311642,kaur ent,658 karpe zila mysuru
BES_0473cb,"Chand, Dugar and Babu","038, Batta, Mysuru",572701,,29MJPRV9406S1ZU,8059182619,chand dugar and babu,038 batta mysuru
BES_3463c5,"Bansal, Grover and Pant","866, Dubey Ganj, Hubballi",580461,HCDFH3255A,29AUECV1536W1ZY,6684292979,bansal grover and pant,866 dubey ganj hubballi
BES_2d2239,Dubey ENT,"41/990, Bath Zila, Belagavi",567661,MZUVL6681D,29KZSBH4162E1ZU,3183693796,dubey ent,41990 bath zila belagavi
BES_7ddee0,Tak-Chawla,"43/76, Amble Zila, Hubballi",585641,ZRVZS0427Y,29DAWUD7947Y1ZY,1030488227,takchawla,4376 amble zila hubballi
BES_0f853f,Bhakta LLC,"H.No. 712
Handa Marg, Bengaluru",569101,JPPGE4079A,29TMAIC3016L1ZJ,1860888385,bhakta llc,hno 712 handa marg bengaluru
BES_dac88c,Vala-Dugar ENT,"H.No. 89
Bhattacharyya Path, Mysuru",577941,FZAMQ4807L,29CYHOR2633C1ZF,910111322862,valadugar ent,hno 89 bhattacharyya path mysuru
BES_823137,Varkey-Dass,"H.No. 505
Chaudhry Road, Hubballi",583181,LUUGV6548Z,29GNLTH7794X1ZD,7981912452,varkeydass,hno 505 chaudhry road hubballi
BES_4b27db,"Bhardwaj, ENT","H.No. 431
Devan Circle, Belagavi",577761,CYUAV1730J,29AGHVX1166O1ZG,4960449201,bhardwaj ent,hno 431 devan circle belagavi
