raw_id,biz_name_raw,address_raw,pin,pan,gst,phone,biz_name_norm,address_norm
FAC_123234,Natt ENT,"06/08
Munshi Road, Belagavi",566621,VSKPY7115X,29NTRFB6511K1ZA,4796368522,natt ent,0608 munshi road belagavi
FAC_0892bf,"Goel, ENT","520, Dewan Ganj, Hubballi",583061,GEGTL3779P,29ZIPMY4583W1ZD,911176099923,goel ent,520 dewan ganj hubballi
FAC_8e73d7,Srinivas Group,"93
Samra Ganj, Hubballi",571061,ABZCJ0511W,29DYERA9376B1ZJ,914895599095,srinivas group,93 samra ganj hubballi
FAC_985fb7,Prashad-Kibe,"966, Sachdev Marg, Bengaluru",571881,LYJRX6084V,,5014576858,prashadkibe,966 sachdev marg bengaluru
FAC_8787b5,Walla-Kakar ENT,"39
Mohan Ganj, Mysuru",566721,LDULQ3774F,29TIBZU2704R1ZT,914924680526,wallakakar ent,39 mohan ganj mysuru
FAC_dc76d3,"Halder, Kadakia and Halder","01
Bains Circle, Bengaluru",561741,GKDNE0889K,29SVUMF0122J1ZJ,914222103270,halder kadakia and halder,01 bains circle bengaluru
FAC_208c0c,Bala-Bhargava ENT,"H.No. 121
Parekh Ganj, Hubballi",587601,VXSGS5034C,29JVPHQ4990H1ZS,5364672617,balabhargava ent,hno 121 parekh ganj hubballi
FAC_4aaf59,"Ravi, ENT","H.No. 99, Shah Street, Mysuru",561801,DGTIB7426E,29RGEVW9656D1ZP,6546424158,ravi ent,hno 99 shah street mysuru
FAC_ab29f8,Issac Ltd,"H.No. 491
Bhakta Path, Bengaluru",577661,FRLUI7921I,29QHMRK0533X1ZV,917992657115,issac ltd,hno 491 bhakta path bengaluru
FAC_4b3ca0,"Puri, Wali and Tandon","H.No. 43
Kade Chowk, Belagavi",582601,CHVSL9423U,29XPCZD5570R1ZL,916258993975,puri wali and tandon,hno 43 kade chowk belagavi
FAC_5966fc,Sekhon ENT,"38/22
Sant Road, Belagavi",569881,OPNMM5679Q,,912919311243,sekhon ent,3822 sant road belagavi
FAC_84fa4d,Tak-Taneja ENT,"H.No. 379, Raman Road, Hubballi",577301,VIJBQ5073B,29VQUKA7559L1ZS,2499645215,taktaneja ent,hno 379 raman road hubballi
FAC_e87370,"Goel, Kaur and Dewan","57/382, Lanka Street, Bengaluru",570521,AHELE8114X,,2123011819,goel kaur and dewan,57382 lanka street bengaluru
FAC_df7be9,Bhalla ENT,"H.No. 861
Kunda Road, Belagavi",579241,ICXVF4197O,29WXURY4110C1ZZ,7602179561,bhalla ent,hno 861 kunda road belagavi
FAC_3a14e7,"Kari, Apte and Sarraf","410, Sawhney Zila, Mysuru",582921,HXWRX4173W,29NMVZC5528W1ZQ,3981204178,kari apte and sarraf,410 sawhney zila mysuru
FAC_73978b,Krish Inc,"16/53, Shetty Road, Hubballi",573201,PIQYU9848Q,29FAJXB4658M1ZG,8984634351,krish inc,1653 shetty road hubballi
FAC_4032ba,"Patla, Sampath and Dutt","H.No. 067
Venkatesh Zila, Mysuru",571321,KXOMS1285Z,29JGAHR0481O1ZR,912949413979,patla sampath and dutt,hno 067 venkatesh zila mysuru
FAC_485ea5,Gokhale Ltd,"H.No. 738, Sunder, Belagavi",564441,MBBPX1035W,29QBAWC1551Z1ZT,8029026664,gokhale ltd,hno 738 sunder belagavi
FAC_57be21,Divan LLC,"595, Gokhale Circle, Bengaluru",570561,YZBHA2906E,29REKVL6944E1ZL,2845963543,divan llc,595 gokhale circle bengaluru
FAC_6c3172,"Anand, ENT","94/540
Bhagat Marg, Mysuru",585341,LKYSS9386B,29FXHJP7369F1ZH,919697549153,anand ent,94540 bhagat marg mysuru
FAC_d37bb2,"Ravi, Varghese and Palla","896
Randhawa Street, Bengaluru",577561,ZMWSC2240K,29CNPXZ7937H1ZT,914953840500,ravi varghese and palla,896 randhawa street bengaluru
FAC_f95a8b,"Deshpande, ENT","89
Wable Circle, Mangaluru",578561,,29VXELK8757C1ZS,911416136169,deshpande ent,89 wable circle mangaluru
FAC_dc547f,Shere-Khurana,"82/168
Seth Zila, Hubballi",561321,USPCR8009B,29ETKHD5033W1ZT,1661477020,sherekhurana,82168 seth zila hubballi
FAC_83da45,Brahmbhatt ENT,"H.No. 380
Tara Chowk, Bengaluru",588881,RPADT2110X,29TGVBP5888K1ZP,3224326576,brahmbhatt ent,hno 380 tara chowk bengaluru
FAC_49c939,Saha-Sen,"719
Halder Ganj, Belagavi",576241,SMCGU3935S,29VIYFJ0357C1ZR,915366888758,sahasen,719 halder ganj belagavi
FAC_bcba27,Hegde-Chand,"34/209, Soni Zila, Mangaluru",571581,SBCOO2366I,29MUVET0922Y1ZL,4860669352,hegdechand,34209 soni zila mangaluru
FAC_5bf3c4,"Chada, Sarraf and Dave","20/08, Bhattacharyya, Belagavi",565621,KNUSA4812J,,916097697356,chada sarraf and dave,2008 bhattacharyya belagavi
FAC_d19ae2,Virk-Som ENT,"42, Dara Chowk, Hubballi",581041,AJGSE1944A,29EKMUO0152P1ZP,7447542796,virksom ent,42 dara chowk hubballi
FAC_016fff,Palla ENT,"21
Anne Chowk, Mangaluru",581021,GTJLI0961B,29JRXBO8256X1ZM,915063372248,palla ent,21 anne chowk mangaluru
FAC_40bed3,Hayre-Rana,"61/628
Roy Marg, Mangaluru",561581,MPQPZ1538G,,9172800565,hayrerana,61628 roy marg mangaluru
FAC_cf37f1,Solanki and Sons,"H.No. 95, Ramanathan Circle, Hubballi",562321,AVEEQ0290A,29HNOEE3279K1ZZ,3739343622,solanki and sons,hno 95 ramanathan circle hubballi
FAC_98d4cf,Sridhar ENT,"19/36
Ray Ganj, Belagavi",576061,JHGZQ4564G,29BNZTX9534Y1ZO,7019561949,sridhar ent,1936 ray ganj belagavi
FAC_8f765e,Shankar and Sons,"61/37, Thakur Chowk, Mangaluru",581941,,29AWRNR1718Z1ZL,912229496463,shankar and sons,6137 thakur chowk mangaluru
FAC_3f28f2,Vora LLC,"324
Bassi Circle, Belagavi",587341,,29YDLID7954L1ZO,3776595697,vora llc,324 bassi circle belagavi
FAC_f98345,"Kaur, ENT","658
Karpe Zila, Mysuru",563661,NZQME8675J,29HCMIC1570F1ZJ,190311642,kaur ent,658 karpe zila mysuru
FAC_bc5123,"Chand, Dugar and Babu","038, Batta, Mysuru",572701,XLQTB7423W,29MJPRV9406S1ZU,8059182619,chand dugar and babu,038 batta mysuru
FAC_b1eb88,"Bansal, Grover and Pant","866, Dubey Ganj, Hubballi",580461,HCDFH3255A,29AUECV1536W1ZY,6684292979,bansal grover and pant,866 dubey ganj hubballi
FAC_f1489d,Madan Inc,"H.No. 785, Agarwal Ganj, Bengaluru",578801,RVFIL4633D,29SYTXJ6364L1ZT,912064364982,madan inc,hno 785 agarwal ganj bengaluru
FAC_100b59,Shetty PLC,"272
Majumdar Street, Hubballi",583361,XWHKI9341G,29CFCMA5142H1ZX,6825158754,shetty plc,272 majumdar street hubballi
FAC_f3f312,Bhakta LLC,"H.No. 712
Handa Marg, Bengaluru",569101,JPPGE4079A,29TMAIC3016L1ZJ,1860888385,bhakta llc,hno 712 handa marg bengaluru
FAC_14b6c8,Vala-Dugar ENT,"H.No. 89
Bhattacharyya Path, Mysuru",577941,,29CYHOR2633C1ZF,910111322862,valadugar ent,hno 89 bhattacharyya path mysuru
FAC_95d07a,Varkey-Dass ENT,"H.No. 505
Chaudhry Road, Hubballi",583181,LUUGV6548Z,29GNLTH7794X1ZD,7981912452,varkeydass ent,hno 505 chaudhry road hubballi
FAC_9edc6a,Narang-Gulati,"28/849, Issac Road, Bengaluru",567501,IEQHF0093U,29XQOIJ5294O1ZR,5068079533,naranggulati,28849 issac road bengaluru
FAC_f91964,Sharaf ENT,"21/85, Dewan Ganj, Hubballi",560601,BLRHB1607H,29KKVZE2763A1ZE,916978995700,sharaf ent,2185 dewan ganj hubballi
FAC_2bd405,Atwal-Kakar,"08, Garg Ganj, Hubballi",567801,FCOWE7030T,29LDDCZ0951X1ZS,918877303391,atwalkakar,08 garg ganj hubballi
FAC_1dbed7,Arya ENT,"016, Bal, Bengaluru",585341,CMQYC8768Y,29TYNCU4075I1ZS,914519823714,arya ent,016 bal bengaluru
FAC_9c2815,Bhalla-Deol ENT,"H.No. 06
Purohit Street, Hubballi",582661,SISTE6998B,29HZSFP5719H1ZY,7722825087,bhalladeol ent,hno 06 purohit street hubballi
FAC_b02282,Prasad Inc,"28, Doshi Ganj, Hubballi",579241,,29NODQN2970N1ZA,911384616410,prasad inc,28 doshi ganj hubballi
FAC_a4449c,"Lala, ENT","84/41
Handa Chowk, Bengaluru",563821,XOIVZ1590O,29BUZFP4665M1ZP,919026810880,lala ent,8441 handa chowk bengaluru
FAC_f7bdc0,"Keer, Lal and Chakrabarti","H.No. 64
Srinivas Road, Mangaluru",562181,MUSGE3910X,29VTLWO6082L1ZX,914972229315,keer lal and chakrabarti,hno 64 srinivas road mangaluru
FAC_ada134,Krishnan-Mukherjee,"81, Lall Road, Bengaluru",589021,ZWKQT5334N,29BZXDZ0110S1ZC,4458303768,krishnanmukherjee,81 lall road bengaluru
FAC_0845bd,Butala-Behl ENT,"577
Khurana Road, Mysuru",565381,GYWRK0468N,29FLEMZ6463I1ZA,910525404348,butalabehl ent,577 khurana road mysuru
FAC_49a5d9,Iyengar-Wadhwa,"07/89, Mistry Zila, Mangaluru",589861,ZBYMO9538M,29SXYQD6880L1ZN,1156419751,iyengarwadhwa,0789 mistry zila mangaluru
FAC_3e2d5a,Mohan Group,"H.No. 04, Tailor Ganj, Mangaluru",568601,FHSDC8630L,29PYBMU9206G1ZS,9268077085,mohan group,hno 04 tailor ganj mangaluru
FAC_e28c4e,Bhatt-Chaudhary,"H.No. 42, Dey Path, Mysuru",567121,XFKPC0582C,29XKJFX2708I1ZM,3563286598,bhattchaudhary,hno 42 dey path mysuru
FAC_9a65bf,"Borah, Swaminathan and Wadhwa","75/882, Mann Zila, Mysuru",570141,LGDNM6666P,29LLVBV0698K1ZY,3625473815,borah swaminathan and wadhwa,75882 mann zila mysuru
FAC_e01786,Verma-Edwin,"09/14
Behl, Mysuru",570141,SHPRL9980G,29HJYXK7338A1ZC,4023691349,vermaedwin,0914 behl mysuru
FAC_7c0302,"Prakash, ENT","99/098
Purohit Path, Mangaluru",575901,BQRWK9921R,29KJAKP5088E1ZP,1931368749,prakash ent,99098 purohit path mangaluru
FAC_3ea2c4,"Grover, ENT","32/408, Pradhan Chowk, Belagavi",588361,FKGGH3190I,29HPUTX2890X1ZR,8594947983,grover ent,32408 pradhan chowk belagavi
FAC_5ae707,Palan-Aurora,"744
Barman Zila, Mangaluru",569401,QXQKP9535B,,1521785905,palanaurora,744 barman zila mangaluru
FAC_60eda2,"Dhaliwal, ENT","H.No. 893
Rattan, Mangaluru",573461,WCNFY0578D,29VBGCR0403O1ZA,229979039,dhaliwal ent,hno 893 rattan mangaluru
FAC_bdfc3e,Rana Group,"08, Swaminathan Marg, Hubballi",588341,JSYXK0926G,,124117390,rana group,08 swaminathan marg hubballi
FAC_3c01a9,Bhatnagar-Bhatti,"H.No. 72, Deol Road, Bengaluru",580501,OYCPN8876J,29QRBFT4390I1ZE,1631802413,bhatnagarbhatti,hno 72 deol road bengaluru
FAC_d1522a,Sharma ENT,"57/86, Comar Nagar, Mysuru",589441,BDJUN3889C,,5816042090,sharma ent,5786 comar nagar mysuru
FAC_b77b50,"Andra, ENT","478, Raja Nagar, Hubballi",562201,WSHDF2642N,29OHFMC1021M1ZO,915898202067,andra ent,478 raja nagar hubballi
FAC_81a774,"Pathak, ENT","97/22
Parmer, Mysuru",587961,,29BPTZZ9737E1ZF,9135889191,pathak ent,9722 parmer mysuru
FAC_2cbf0b,Varughese-Kumar,"645
Basak Circle, Mangaluru",578701,NKIWK8305Q,,5182603065,varughesekumar,645 basak circle mangaluru
FAC_fee756,"Mistry, ENT","27/654
Naik Circle, Hubballi",577121,UKHPH7997X,29UBPFM4188O1ZA,6197153337,mistry ent,27654 naik circle hubballi
FAC_d2d290,Raju PLC,"H.No. 518
Bhatia, Hubballi",578461,RXEOR0872Z,29ZZZCY3838U1ZJ,914115890157,raju plc,hno 518 bhatia hubballi
FAC_cac9a5,"Sheth, Kalla and Madan","197
Sarraf, Belagavi",562621,ZCHAN9498K,29CEFAX5272T1ZK,4652021820,sheth kalla and madan,197 sarraf belagavi
FAC_ea3e87,Memon ENT,"429, Issac Road, Belagavi",562161,JIRAT9098P,29UZBCM1024J1ZN,919468457637,memon ent,429 issac road belagavi
FAC_008022,"Dyal, ENT","94, Varughese Chowk, Bengaluru",570461,TFMKI5295E,29NCUMD4717T1ZQ,2018073409,dyal ent,94 varughese chowk bengaluru
FAC_103a1e,"Kakar, ENT","H.No. 179, Ghose Nagar, Bengaluru",569761,,29KTTZP2090Y1ZL,7503041168,kakar ent,hno 179 ghose nagar bengaluru
FAC_bf86d7,Sahni PLC,"465, Boase Path, Hubballi",567441,QTSRJ6317G,29ANMYY3214F1ZX,913325059108,sahni plc,465 boase path hubballi
FAC_24fae6,Sachar-Gandhi,"17/517
Ramaswamy Street, Mangaluru",587281,VIIBG0435Y,29GWYIS6045D1ZG,912339739320,sachargandhi,17517 ramaswamy street mangaluru
FAC_28e559,"Doshi, Sanghvi and Ranganathan","H.No. 956
Tak Street, Mysuru",583401,WBEHR9794J,29GDYZX3539F1ZT,1518443180,doshi sanghvi and ranganathan,hno 956 tak street mysuru
FAC_4f6c87,Lata-Baria,"73/72, Pandit, Belagavi",567701,EJRLE3694X,29VNACH0032N1ZL,9125541915,latabaria,7372 pandit belagavi
