raw_id,biz_name_raw,address_raw,pin,pan,gst,phone,biz_name_norm,address_norm
SHP_245298,Natt LLC,"06/08
Munshi Road, Belagavi",566621,VSKPY7115X,29NTRFB6511K1ZA,4796368522,natt llc,0608 munshi road belagavi
SHP_28a3b5,Shukla-Shan ENT,"91/785
Sengupta Ganj, Belagavi",565261,OHYIP6789J,29SCNDT7250P1ZT,5139503421,shuklashan ent,91785 sengupta ganj belagavi
SHP_2ee7b6,Manda Group,"376, Tank Marg, Belagavi",570241,VUBIG6966F,29OABXB0578G1ZJ,6835564054,manda group,376 tank marg belagavi
SHP_dfd5fd,"Goel, Bassi and Deshpande","520, Dewan Ganj, Hubballi",583061,GEGTL3779P,29ZIPMY4583W1ZD,911176099923,goel bassi and deshpande,520 dewan ganj hubballi
SHP_f809d9,Singh-Trivedi ENT,"57/78, Naidu, Belagavi",579841,YPLOH9567L,29ZIPVN5791I1ZB,6797446379,singhtrivedi ent,5778 naidu belagavi
SHP_afe9d8,Srinivas ENT,"93
Samra Ganj, Hubballi",571061,ABZCJ0511W,29DYERA9376B1ZJ,914895599095,srinivas ent,93 samra ganj hubballi
SHP_3da523,Prashad-Kibe ENT,"966, Sachdev Marg, Bengaluru",571881,LYJRX6084V,,5014576858,prashadkibe ent,966 sachdev marg bengaluru
SHP_ce6646,"Halder, ENT","01
Bains Circle, Bengaluru",561741,,29SVUMF0122J1ZJ,914222103270,halder ent,01 bains circle bengaluru
SHP_536974,Bala-Bhargava ENT,"H.No. 121
Parekh Ganj, Hubballi",587601,VXSGS5034C,29JVPHQ4990H1ZS,5364672617,balabhargava ent,hno 121 parekh ganj hubballi
SHP_319618,"Ravi, ENT","H.No. 99, Shah Street, Mysuru",561801,DGTIB7426E,29RGEVW9656D1ZP,6546424158,ravi ent,hno 99 shah street mysuru
SHP_f1842d,Issac Ltd,"H.No. 491
Bhakta Path, Bengaluru",577661,FRLUI7921I,29QHMRK0533X1ZV,917992657115,issac ltd,hno 491 bhakta path bengaluru
SHP_bf09ff,Tak-Taneja,"H.No. 379, Raman Road, Hubballi",577301,VIJBQ5073B,29VQUKA7559L1ZS,2499645215,taktaneja,hno 379 raman road hubballi
SHP_7d282a,"Baral, ENT","H.No. 848
Singh Ganj, Mangaluru",589661,,29EWZYY4129U1ZA,8729742761,baral ent,hno 848 singh ganj mangaluru
SHP_ec0f54,"Goel, ENT","57/382, Lanka Street, Bengaluru",570521,AHELE8114X,29YULWI5820P1ZU,2123011819,goel ent,57382 lanka street bengaluru
SHP_d5077f,Bhalla Group,"H.No. 861
Kunda Road, Belagavi",579241,ICXVF4197O,29WXURY4110C1ZZ,7602179561,bhalla group,hno 861 kunda road belagavi
SHP_789227,"Kari, Apte and Sarraf","410, Sawhney Zila, Mysuru",582921,HXWRX4173W,29NMVZC5528W1ZQ,3981204178,kari apte and sarraf,410 sawhney zila mysuru
SHP_49315a,Krish ENT,"16/53, Shetty Road, Hubballi",573201,PIQYU9848Q,29FAJXB4658M1ZG,8984634351,krish ent,1653 shetty road hubballi
